,game,model,experiment,episode,metric,value
40,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_4,Request Count,6.0
41,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_4,Parsed Request Count,5.0
42,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_4,Violated Request Count,1.0
43,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_4,Request Success Ratio,0.8333333333333334
44,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_4,Aborted,1.0
45,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_4,Lose,0.0
46,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_4,Success,0.0
47,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_4,Main Score,
48,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Request Count,6.0
49,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Parsed Request Count,6.0
50,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Violated Request Count,0.0
51,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Request Success Ratio,1.0
52,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Aborted,0.0
53,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Lose,1.0
54,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Success,0.0
55,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Main Score,0.0
56,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Sum of Points,0.0
57,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_5,Pareto Optimal,0.0
58,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Request Count,7.0
59,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Parsed Request Count,7.0
60,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Violated Request Count,0.0
61,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Request Success Ratio,1.0
62,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Aborted,0.0
63,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Lose,1.0
64,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Success,0.0
65,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Main Score,0.0
66,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Sum of Points,0.0
67,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_6,Pareto Optimal,0.0
68,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Request Count,7.0
69,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Parsed Request Count,7.0
70,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Violated Request Count,0.0
71,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Request Success Ratio,1.0
72,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Aborted,0.0
73,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Lose,0.0
74,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Success,1.0
75,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Main Score,93.75
76,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Sum of Points,0.9375
77,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_7,Pareto Optimal,0.0
78,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Request Count,6.0
79,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Parsed Request Count,6.0
80,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Violated Request Count,0.0
81,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Request Success Ratio,1.0
82,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Aborted,0.0
83,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Lose,1.0
84,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Success,0.0
85,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Main Score,0.0
86,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Sum of Points,0.0
87,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_8,Pareto Optimal,0.0
88,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Request Count,6.0
89,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Parsed Request Count,6.0
90,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Violated Request Count,0.0
91,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Request Success Ratio,1.0
92,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Aborted,0.0
93,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Lose,1.0
94,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Success,0.0
95,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Main Score,0.0
96,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Sum of Points,0.0
97,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_9,Pareto Optimal,0.0
98,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Request Count,6.0
99,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Parsed Request Count,6.0
100,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Violated Request Count,0.0
101,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Request Success Ratio,1.0
102,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Aborted,0.0
103,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Lose,1.0
104,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Success,0.0
105,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Main Score,0.0
106,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Sum of Points,0.0
107,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_10,Pareto Optimal,0.0
108,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Request Count,6.0
109,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Parsed Request Count,6.0
110,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Violated Request Count,0.0
111,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Request Success Ratio,1.0
112,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Aborted,0.0
113,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Lose,1.0
114,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Success,0.0
115,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Main Score,0.0
116,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Sum of Points,0.0
117,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_11,Pareto Optimal,0.0
118,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_12,Request Count,4.0
119,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_12,Parsed Request Count,3.0
120,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_12,Violated Request Count,1.0
121,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_12,Request Success Ratio,0.75
122,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_12,Aborted,1.0
123,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_12,Lose,0.0
124,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_12,Success,0.0
125,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_12,Main Score,
126,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Request Count,6.0
127,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Parsed Request Count,6.0
128,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Violated Request Count,0.0
129,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Request Success Ratio,1.0
130,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Aborted,0.0
131,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Lose,1.0
132,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Success,0.0
133,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Main Score,0.0
134,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Sum of Points,0.0
135,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_13,Pareto Optimal,0.0
136,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Request Count,6.0
137,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Parsed Request Count,6.0
138,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Violated Request Count,0.0
139,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Request Success Ratio,1.0
140,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Aborted,0.0
141,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Lose,0.0
142,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Success,1.0
143,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Main Score,81.25
144,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Sum of Points,0.8125
145,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_14,Pareto Optimal,0.0
146,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Request Count,6.0
147,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Parsed Request Count,6.0
148,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Violated Request Count,0.0
149,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Request Success Ratio,1.0
150,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Aborted,0.0
151,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Lose,1.0
152,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Success,0.0
153,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Main Score,0.0
154,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Sum of Points,0.0
155,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_15,Pareto Optimal,0.0
156,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Request Count,5.0
157,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Parsed Request Count,5.0
158,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Violated Request Count,0.0
159,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Request Success Ratio,1.0
160,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Aborted,0.0
161,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Lose,1.0
162,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Success,0.0
163,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Main Score,0.0
164,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Sum of Points,0.0
165,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_16,Pareto Optimal,0.0
166,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Request Count,7.0
167,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Parsed Request Count,7.0
168,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Violated Request Count,0.0
169,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Request Success Ratio,1.0
170,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Aborted,0.0
171,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Lose,1.0
172,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Success,0.0
173,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Main Score,0.0
174,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Sum of Points,0.0
175,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_17,Pareto Optimal,0.0
176,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Request Count,5.0
177,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Parsed Request Count,5.0
178,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Violated Request Count,0.0
179,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Request Success Ratio,1.0
180,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Aborted,0.0
181,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Lose,1.0
182,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Success,0.0
183,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Main Score,0.0
184,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Sum of Points,0.0
185,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_18,Pareto Optimal,0.0
186,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Request Count,5.0
187,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Parsed Request Count,5.0
188,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Violated Request Count,0.0
189,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Request Success Ratio,1.0
190,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Aborted,0.0
191,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Lose,0.0
192,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Success,1.0
193,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Main Score,100.0
194,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Sum of Points,1.0
195,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_19,Pareto Optimal,1.0
196,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_20,Request Count,8.0
197,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_20,Parsed Request Count,8.0
198,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_20,Violated Request Count,0.0
199,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_20,Request Success Ratio,1.0
200,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_20,Aborted,1.0
201,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_20,Lose,0.0
202,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_20,Success,0.0
203,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_20,Main Score,
204,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Request Count,8.0
205,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Parsed Request Count,8.0
206,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Violated Request Count,0.0
207,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Request Success Ratio,1.0
208,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Aborted,0.0
209,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Lose,1.0
210,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Success,0.0
211,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Main Score,0.0
212,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Sum of Points,0.0
213,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_21,Pareto Optimal,0.0
214,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Request Count,7.0
215,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Parsed Request Count,7.0
216,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Violated Request Count,0.0
217,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Request Success Ratio,1.0
218,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Aborted,0.0
219,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Lose,0.0
220,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Success,1.0
221,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Main Score,87.5
222,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Sum of Points,0.875
223,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_22,Pareto Optimal,0.0
224,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Request Count,7.0
225,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Parsed Request Count,7.0
226,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Violated Request Count,0.0
227,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Request Success Ratio,1.0
228,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Aborted,0.0
229,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Lose,1.0
230,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Success,0.0
231,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Main Score,0.0
232,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Sum of Points,0.0
233,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_23,Pareto Optimal,0.0
234,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_24,Request Count,6.0
